Overall Rank,City,Region,Happiness Score,Emotional & Physical Well-Being Rank,Income & Employment Rank,Community & Environment Rank,Latitude,Longitude,Elevation,max_temp_mean,min_temp_mean,daylight_duration_mean,sunshine_duration_mean,uv_index_max_mean,precipitation_sum_mean,rain_sum_mean,showers_sum_mean,snowfall_sum_mean,precipitation_hours_mean,wind_speed_10m_max_mean,wind_gusts_10m_max_mean,shortwave_radiation_sum_mean
157,"Tulsa, OK",,44.86,162,95,104,36.14,-96.00,226.00,74.32849315,53.0369863,12.18781846,8.375977496,5.475068493,0.088915068,0.088915068,0,0,0.838356164,10.98849315,22.95150685,17.99983562
158,"Corpus Christi, TX",,44.55,151,64,156,27.79,-97.42,8.00,82.10493151,68.19534247,12.16184549,8.537257945,6.56369863,0.086591781,0.086591781,0,0,0.693150685,14.91150685,24.0739726,18.42846575
159,"Salem, OR",,44.1,137,54,179,44.93,-123.05,55.00,65.99260274,45.8769863,12.22816995,6.90742277,4.417945205,0.056323288,0.056323288,0,0,1.610958904,9.922465753,20.0169863,14.67312329
160,"Baltimore, MD",,43.78,139,165,163,39.29,-76.62,29.00,68.85178082,50.81232877,12.20031955,7.476875883,5.055479452,0.067841096,0.067841096,0,0,0.989041096,10.19068493,20.6490411,15.75863014
161,"Philadelphia, PA",,43.57,156,136,137,39.96,-75.16,16.00,67.05808219,50.28465753,12.20323695,7.560888075,4.712739726,0.118786301,0.118786301,0,0,1.126027397,10.56630137,21.29863014,15.97350685
162,"Charleston, WV",,43.26,178,12,67,38.35,-81.64,191.00,70.00410959,49.54219178,12.19637753,7.298977055,4.934794521,0.089336986,0.089336986,0,0,0.898630137,9.111232877,19.72657534,16.01452055
163,"Lubbock, TX",,43.17,164,47,155,33.59,-101.86,978.00,78.00136986,51.40109589,12.17889768,9.487792374,6.405068493,0.034079452,0.034079452,0,0,0.410958904,16.07342466,27.15835616,20.83
164,"St. Louis, MO",,42.99,149,166,147,38.62,-90.21,142.00,69.54794521,50.18849315,12.1975174,7.816837976,5.183835616,0.090635616,0.090635616,0,0,0.901369863,10.90410959,21.86328767,16.64621918
165,"San Antonio, TX",,42.31,155,130,169,29.41,-98.49,203.00,85.06410959,63.51726027,12.16621616,8.269279391,6.380273973,0.044624658,0.044624658,0,0,0.556164384,10.93671233,22.02684932,18.58553425
166,"Columbus, GA",,40.91,168,142,148,32.47,-85.00,75.00,78.15150685,57.23643836,12.1753031,8.29516446,6.079726027,0.087153425,0.087153425,0,0,0.835616438,8.947945205,18.11123288,18.09421918
167,"Fayetteville, NC",,40.56,170,146,152,35.05,-78.89,36.00,75.22328767,54.64931507,12.18387362,8.207410304,5.667123288,0.120652055,0.120652055,0,0,0.882191781,9.862739726,20.28739726,17.71849315
168,"Fort Smith, AR",,40.1,181,9,106,35.38,-94.40,133.00,75.91589041,54.52931507,12.18505767,8.298303493,5.428630137,0.105764384,0.105764384,0,0,0.980821918,10.49452055,19.6569863,17.81158904
169,"Baton Rouge, LA",,40.1,167,114,171,30.43,-91.18,18.00,81.51232877,63.4709589,12.16911453,8.650352291,6.384246575,0.092846575,0.092846575,0,0,0.649315068,10.50931507,20.22821918,18.40775342
170,"Memphis, TN",,39.85,158,181,159,35.15,-90.05,84.00,73.48876712,55.6709589,12.18423859,8.106376484,5.478082192,0.115758904,0.115758904,0,0,0.871232877,10.47342466,20.77315068,17.47868493
171,"Augusta, GA",,39.44,163,156,178,33.47,-81.97,44.00,77.10520548,56.49260274,12.17850974,8.294601705,5.873972603,0.095805479,0.095805479,0,0,0.909589041,9.344931507,18.41315068,17.88123288
172,"Gulfport, MS",,39.25,173,162,146,30.37,-89.10,8.00,76.34657534,63.37726027,12.16893157,8.423673432,6.426849315,0.119671233,0.119671233,0,0,0.742465753,12.89835616,22.14876712,18.73558904
173,"Akron, OH",,39.15,166,145,175,41.09,-81.51,290.00,63.20410959,45.17561644,12.20836944,6.941289658,4.609315068,0.082254795,0.082254795,0,0,1.246575342,11.23205479,22.88246575,15.12156164
174,"Mobile, AL",,38.97,175,172,107,30.71,-88.04,5.00,79.75945205,61.67260274,12.16992341,8.498958097,6.323972603,0.084687671,0.084687671,0,0,0.863013699,10.6939726,19.41068493,18.52375342
175,"Jackson, MS",,38.79,161,178,177,32.30,-90.20,93.00,79.80547945,58.69534247,12.17475721,8.494609011,6.089315068,0.118460274,0.118460274,0,0,0.832876712,10.4660274,20.3490411,18.21673973
176,"Toledo, OH",,37.51,174,164,166,41.67,-83.57,191.00,61.05178082,45.35534247,12.21111757,7.00125532,4.567671233,0.081136986,0.081136986,0,0,1.109589041,10.68219178,22.55643836,15.14419178
177,"Huntington, WV",,37.31,182,18,22,38.43,-82.46,177.00,70.06383562,48.71178082,12.19671123,7.70670102,4.964520548,0.053931507,0.053931507,0,0,0.854794521,9.193972603,19.69232877,16.30747945
178,"Shreveport, LA",,36.54,179,173,140,32.53,-93.75,52.00,79.43890411,59.63835616,12.17549358,8.420841476,5.972739726,0.115328767,0.115328767,0,0,0.876712329,10.1909589,19.73589041,18.27947945
179,"Birmingham, AL",,36.22,171,148,180,33.53,-86.81,187.00,75.77342466,55.97260274,12.17871755,8.260082085,5.893561644,0.077468493,0.077468493,0,0,0.824657534,9.355068493,19.44383562,17.94153425
180,"Montgomery, AL",,35.7,177,177,167,32.37,-86.30,79.00,79.43945205,57.90383562,12.17498297,8.460265731,6.119726027,0.101145205,0.101145205,0,0,0.832876712,9.976986301,18.6109589,18.06526027
181,"Cleveland, OH",,34.83,172,161,182,41.50,-81.71,200.00,60.69506849,46.29013699,12.21029504,7.018550563,4.55,0.07670411,0.07670411,0,0,1.150684932,14.16876712,23.78958904,15.19665753
182,"Detroit, MI",,31.43,180,182,176,42.32,-83.03,182.00,60.7539726,44.60657534,12.21427336,6.795859452,4.436027397,0.078627397,0.078627397,0,0,1.224657534,12.00219178,22.93643836,14.71515068
